Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,City,Country,Latitude,Longitude,Source,Date Started,Date Ended
,,,,,ENFOM,,École nationale de la France d'outre-mer,Paris,France,48.84385337,2.3364422,,01/01/1934,01/01/1958
,,,,,IHEOM,,Institut des hautes études d'outre-mer,Paris,France,48.84385337,2.3364422,,01/01/1959,01/01/1966
,,,,,IIAP,,Institut international d'administration publique,Paris,France,48.84385337,2.3364422,,01/01/1966,01/01/2002
,,,,,IRIC,,Institut des relations internationales du Cameroun,Yaoundé,Cameroon,3.854783784,11.4912875,,24/04/1971,Ongoing
,,,,,FSP,,Foreign Service Program,Oxford,UK,51.75649471,-1.2513325,,01/01/1969,Ongoing
,,,,,ComSec,,Commonwealth Secretariat,London,UK,51.50518458,-0.1360607,,01/01/1971,01/01/1995
,,,,,IUHEI,,Institut Universitaire des Hautes Etudes Internationales,Geneva,Switzerland,46.2214878,6.14366466,,01/01/1960,01/01/1972
,,,,,UNITAR,,United Nations Institute for Training and Research,Geneva,Switzerland,46.22362726,6.14743768,,01/01/1963,Ongoing
,,,,,NIPA,,National Institute of Public Administration,Lusaka,Zambia,-15.4185481,28.2924715,Mtshali,01/01/1972,Ongoing
,,,,,Columbia,,Columbia University,New York,USA,40.80789281,-73.96259416,Mtshali,01/01/1960,
,,,,,AU,,American University,Washington DC,USA,38.93806246,-77.08890094,Mtshali,,
,,,,,MU,,Makerere University,Kampala,Uganda,0.3345603507,32.56754752,,,